gene	count_2	count_3	count_4	count_5	count_6	count_7	count_8	count_9	count_10	count_11	count_12	count_13	count_14	count_15	count_16	count_18	count_19	count_20	count_21	count_22	count_23	count_24	count_25	count_26	count_27	count_28	count_29	count_30	count_31	count_32	count_34	count_35	count_36	count_37	count_38	count_39	count_40	count_41	count_42	count_43	count_44	count_45	count_46	count_47	count_48	count_50	count_51	count_52	count_53	count_54	count_55	count_56	count_57	count_58	count_59	count_60	count_61	count_62	count_63	count_64
Rv3611	8.148891042	6.229787728	6.997327205	2.931518155	0	1.929161236	0	5.826388083	3.555996274	11.61983858	0	0	0	0	9.194173831	1.349808252	4.866594927	3.758212591	1.301188965	2.47496632	0	0	0	20.62771084	0	0	41.55626278	0	31.21265259	0	11.46493575	12.73163263	14.69471694	4.505467165	8.939779701	9.927434827	7.950449751	5.977737104	4.26853769	12.22429712	1.827642013	4.486128196	5.951308909	4.436641959	2.780502764	9.963353288	8.343251024	3.487262926	5.471489546	8.41327376	5.828421652	6.411523561	2.493408273	6.154983083	3.53909031	3.698247957	1.765073895	3.764611355	0.767866828	3.242330551
Rv3612c	62.9431584	93.19762442	108.2919686	86.1133458	110.6056095	115.7496742	105.78429	112.6435029	37.33796088	0	7.695289535	18.25285394	0	0	0	46.90583675	66.04664544	79.54883317	83.60139102	87.44880997	74.906106	128.0159728	40.15634319	74.25975901	21.71427769	0	0	27.4380011	10.40421753	7.01458059	60.66861835	66.84107129	73.4735847	61.27435345	89.39779701	80.32197269	83.2147074	94.14935939	78.66305172	373.3967121	414.8747371	400.1626351	499.9099484	751.2713718	574.1738207	51.43244535	72.85082602	78.02750797	64.35513894	79.16125765	77.56284198	91.18611286	96.41178655	104.1217971	313.4061086	363.2501326	315.3598693	511.234222	757.1166925	626.8505733
Rv3613c	248.6816749	290.0589166	347.5339178	355.0801365	385.8768735	381.330871	468.7505693	444.7476237	261.3657261	34.85951573	30.78115814	9.126426968	8.312067317	16.08536415	0	266.9245818	262.7961261	305.876747	339.61032	315.9707002	352.1704984	451.3383656	302.9978623	202.1515662	65.14283306	0	10.3890657	0	10.40421753	7.01458059	215.9229567	218.0292087	215.6449711	182.0208735	239.6978432	267.1382462	338.6891594	334.7532778	373.1921524	1111.299738	1462.113611	1358.399618	1860.775919	2345.504716	2010.303498	208.4225796	244.8031947	247.8136217	198.0158121	260.0466435	264.744845	312.7398715	350.1853396	391.354341	1029.482048	1260.28072	1129.647293	1796.472538	2158.473654	1909.732695
Rv3614c	1611.232456	2573.151523	3401.70064	3940.32684	5561.349465	7302.518333	8658.783809	7372.323055	4894.828871	1330.471517	1377.456827	1441.975461	1787.094473	1512.02423	1618.174594	1893.780977	2604.323514	3668.433068	4456.897504	5720.472154	8234.081652	8247.182863	6056.306668	4909.395179	1281.142383	1503.673893	1329.800409	1355.437255	1508.611542	1445.003602	1654.772393	1352.205482	1390.120222	1298.02509	1438.187059	1439.026803	1980.192018	2488.23307	3402.024539	8204.725968	11721.58205	12355.69428	16911.63615	20253.27054	21286.13891	1598.175723	1478.790371	1430.649615	1417.115792	1638.293854	1659.53098	2087.663311	2556.851661	3787.366257	8992.042014	11668.38322	14762.4897	19981.80415	23730.15645	24369.35642
Rv3615c	1019.735365	1929.489855	2473.388564	2674.277437	4729.943254	6564.935687	8087.160444	8081.200272	6857.738814	1121.314423	823.3959802	757.4934383	764.7101931	932.9511204	1213.630946	1401.77587	2194.139084	2929.735504	3996.601907	4959.832505	7561.0447	8296.419775	7297.502731	6365.711564	1056.761514	848.2262986	727.2345987	724.3632292	530.615094	764.5892843	1544.900093	1262.553569	1222.967817	1081.762666	1014.10626	1205.280837	1531.256622	2267.554941	3025.783431	7908.008938	12253.42588	13031.30518	15321.64479	18397.27532	19377.32376	1574.748379	1488.965067	1237.760385	1289.968797	1391.249543	1380.215081	1678.038194	2412.233981	3809.165155	7806.44676	8519.530543	12161.35914	14593.89238	15918.64721	20071.10689
Rv3616c	4606.090413	9121.156809	11241.70596	11381.2528	22516.94084	30542.48069	39015.96354	47626.83832	45214.49262	7570.324832	5117.367541	4481.075641	4372.147409	4455.645868	5203.902388	5397.545747	9423.118234	11975.33563	15863.11997	22148.4736	32230.86761	36819.36325	37681.25222	35302.26433	6022.093011	5127.913533	5454.25949	3978.51016	5514.23529	4482.316997	6062.562484	4156.878053	4262.202648	3815.229595	3814.492251	4277.370669	5662.840343	7236.548909	9553.597142	24775.31637	41115.54856	40819.28046	55450.32888	70229.08446	67353.5087	5047.6502	4207.23695	3735.948364	3718.267967	4550.816261	4293.753397	5139.904721	7624.565453	11965.03065	25862.49229	30458.77017	41235.06799	51969.70683	57237.56123	67271.87428
Rv3617	143.5890801	87.2170282	99.96181721	71.8221948	152.8594378	175.5536725	170.8076609	184.5022893	216.9157727	232.3967715	269.3351337	246.4135281	315.858558	241.2804622	239.0485196	176.4874289	127.5743099	116.9221695	115.1552234	199.6472831	194.5322753	183.8178071	277.4438257	152.6450602	159.2380364	366.2795381	249.3375767	219.5040088	374.551831	266.5540624	157.6428666	111.9322702	112.7819525	110.8344923	70.95950138	79.41947861	85.33482733	92.65492511	107.9330245	90.0152788	133.417867	113.0504306	99.18848182	62.11298743	133.4641327	135.4477488	125.3522593	99.3869934	78.94577773	94.84054057	94.59976681	88.69274259	73.69406673	95.40223778	121.1155351	122.0421826	105.9044337	97.87989522	66.03654721	131.8547758
Rv3618	59.57120348	59.80596219	55.64541158	49.46936887	96.31387341	90.02752436	69.87586127	75.74304508	65.78593107	58.09919288	61.56231628	100.3906966	0	0	45.97086915	59.39156308	70.21801252	83.72462494	90.43263309	123.748316	115.154163	82.06152102	40.15634319	49.50650601	43.42855537	96.38935212	62.33439417	43.90080177	62.42530517	42.08748354	43.47121473	34.48150503	35.26732065	24.32952269	36.87659127	37.90475116	43.46245864	54.79592345	60.97910986	77.79098168	67.6227545	60.11411783	75.38324619	72.465152	80.63458015	38.50701406	33.98348588	31.1674124	34.65276712	38.62457499	36.31555029	46.30544794	50.14521082	57.19005114	67.63594816	66.97937966	86.48862088	62.49254849	60.66147942	71.33127213
Rv3619c	71.93503817	65.78655841	64.97518119	52.40088702	51.57452576	50.80124589	48.52490366	56.32175147	42.67195529	46.47935431	30.78115814	0	24.93620195	48.25609244	36.77669532	67.82786465	60.48482266	74.12030387	64.73415103	44.54939376	63.72609018	39.38953009	40.15634319	53.63204817	14.47618512	19.27787042	20.77813139	71.33880287	20.80843506	49.10206413	43.94892038	56.76186213	54.00308475	45.50521837	50.84499705	64.97957341	53.53302833	67.74768718	74.39451403	65.56668456	75.84714356	79.8530819	77.36701582	45.84530025	82.02483153	38.50701406	41.71625512	43.37283265	58.8836494	43.59605494	46.85154328	55.56653753	47.09771182	68.47418679	58.59160625	76.01954133	101.19757	76.04514936	68.3401477	79.97748694
Rv3620c	103.6876136	112.3853706	80.63586589	90.14418327	79.53661804	80.38171818	77.63984585	38.84258722	53.33994411	0	15.39057907	27.3792809	24.93620195	32.17072829	110.330086	91.112057	88.29393653	101.2629504	105.071009	63.52413554	83.85011866	73.85536892	47.4574965	41.25542167	0	9.638935212	41.55626278	38.41320155	10.40421753	56.11664472	67.8342032	74.79834169	71.26937716	71.63692793	48.05131589	87.09067825	66.25374793	66.2532529	76.22388733	86.68137959	127.0211199	103.1809485	87.285864	73.94403266	134.854384	53.04812426	65.93203249	62.33482481	87.54383273	73.80735617	72.85527065	72.66393369	83.39065446	101.5572209	73.53443201	106.8382743	120.6133829	91.85651705	79.85815012	102.6738008
Rv3621c	27.25663556	20.43370375	24.65724825	30.78094063	24.23381331	18.00550487	14.5574711	27.18981106	21.33597764	81.33887003	7.695289535	18.25285394	58.18447122	16.08536415	18.38834766	25.30890472	25.02820248	27.14264649	24.72259034	28.04961829	26.83203797	22.97722589	0	8.251084334	7.238092562	57.83361127	20.77813139	10.97520044	41.61687012	14.02916118	32.48398463	29.7071428	25.34838672	22.97788254	28.4955478	23.91609299	32.33182899	31.88126455	24.39164395	28.8937932	19.19024114	15.25283587	16.86204191	36.97201633	18.07326796	33.92925714	23.60529558	32.91104387	26.57580637	27.15192895	23.76202673	21.72794096	23.27181055	25.64576284	23.20070315	17.25849046	11.17880134	12.04675633	28.41107264	16.21165276
Rv3622c	0.561992486	1.495149055	6.664121148	4.030837463	4.349658799	2.572214982	3.881992293	1.942129361	7.111992548	0	0	0	0	64.34145658	9.194173831	2.699616504	7.29989239	2.923054237	2.277080689	1.649977547	2.236003164	0	0	16.50216867	7.238092562	0	0	5.487600221	0	0	5.732467876	2.121938771	1.10210377	1.802186866	2.793681157	3.158729263	3.710209884	2.490723793	0.609791099	4.445198953	2.74146302	8.075030754	1.983769636	0	6.951256909	2.962078005	2.645421057	4.141124725	4.16875394	2.676950742	2.690040762	3.20576178	1.385226818	3.846864427	1.966161284	4.930997275	0	3.764611355	3.071467312	2.161553701
Rv3623	114.6464671	100.1749867	113.9564716	187.2507221	83.26489701	57.87483709	79.580842	77.68517444	115.5698789	127.8182243	192.3822384	127.7699776	166.2413463	193.0243697	220.6601719	93.8116735	111.5840694	122.768278	118.7334931	109.7235068	81.6141155	96.83259481	109.5172996	111.3896385	231.618962	144.5840282	197.3922482	235.9668095	208.0843506	49.10206413	353.9798913	360.7295911	367.3679235	354.5802659	329.6543765	323.0928789	322.2582299	303.8683028	375.6313168	284.492733	265.921913	296.084461	183.4986914	146.4091847	116.7811161	358.4114385	372.5973811	388.6118623	409.5800746	327.3528336	336.9276055	309.5341097	292.0058133	354.4244425	311.0467151	267.5066022	222.3993108	151.3373765	109.0370896	88.62370174
Rv3624c	397.0476911	341.8907505	301.5514819	269.3332305	306.9616353	294.5186154	189.2471243	147.6018314	168.909823	133.6281436	153.9057907	182.5285394	116.3689424	193.0243697	229.8543458	377.2714064	306.2478665	327.5908642	270.972602	259.8714636	264.966375	190.3827288	138.7219128	156.7706024	43.42855537	77.1114817	135.057854	82.31400331	156.0632629	63.13122531	444.2662604	466.296045	379.8584329	382.964709	377.1469561	338.4352782	356.7101788	332.7606988	371.3627791	290.0492317	302.4747532	286.2149789	252.9306287	249.9308304	247.464746	456.1600127	429.9826686	375.7525803	393.6867002	361.0059286	364.5005233	361.8948854	355.4492015	351.8598662	329.1353989	315.9947421	295.9440565	283.8516961	221.1456465	230.2054692
Rv3625c	114.3654708	154.0003526	206.2545495	128.9867988	412.5962061	427.6307407	403.7271984	260.2453344	218.6937708	296.3058837	384.7644767	428.9420675	531.9723083	289.5365546	505.6795607	112.708989	136.9598858	194.1743172	233.8887165	275.5462503	343.2264857	352.8645404	281.0944023	214.5281927	383.6189058	356.6406028	716.845533	587.1732236	416.1687012	455.9477383	132.8021725	117.7676018	98.08723557	99.57082435	105.0424115	114.1655005	106.5360267	110.0899917	99.39594908	105.5734751	84.98535362	82.54475881	127.9531416	150.8458266	123.732373	131.1392717	97.88057909	114.2078608	112.2958093	91.01632523	99.75567827	107.5711175	100.567467	91.29891572	110.8914964	94.92169755	90.60712663	100.8915843	192.7345738	137.25866
Rv3626c	497.3633498	726.8916321	749.7136291	614.5194932	1385.055638	1284.17833	1091.810332	716.6457342	599.1853721	859.8680546	931.1300337	894.3898429	914.3274049	868.6096639	965.3882522	568.6067261	716.0846821	724.9174509	825.6043985	1121.159743	1134.771606	1019.204091	759.319944	787.9785539	854.0949223	1041.005003	1080.462832	1190.809248	1165.272363	1003.085024	328.6614915	288.0531882	326.2227161	292.404819	314.5684982	327.6053493	390.1020678	432.8877953	392.0956764	298.9396296	324.4064574	314.0289738	569.3418857	454.0163605	601.9788483	361.3735166	292.2172798	326.2770375	298.8475481	299.4360616	342.0835169	370.0873878	464.6050748	384.1735274	378.6826632	399.8216958	435.9732522	563.1858586	679.5621428	534.984541
Rv3627c	940.775421	1330.184276	1416.792156	1325.046206	3340.537958	3543.869191	3657.807238	2924.846818	2855.465008	5920.307755	7064.275793	7145.992316	7755.158807	8139.194258	8237.979752	1012.693641	1529.501263	1621.877523	1924.45848	2728.237873	3255.620607	3682.921063	3263.615528	3222.048433	6275.426251	8173.81706	7895.689929	8686.87115	8063.268585	7912.446905	779.1379255	632.3377538	617.1781115	601.4798666	638.0767762	630.8433585	668.8978391	739.2468219	790.2892638	616.7713547	706.3836382	741.1083781	1086.113876	1044.089741	1162.250155	796.7989832	659.7273127	608.9632885	672.2115728	650.8814518	653.4557352	711.6791152	804.539736	807.8415296	792.3629973	896.2087548	1040.80524	1259.638959	1571.823397	1437.433211
